description,domain,response,model_type,term,test,statistic,df1,df2,n,estimate,units,pct_change,ci_low,ci_high,p_value,qualitative,source_script,source_artifact
"Morphology: Tip exist — fixed: treatment31C:day:thicketd [GLMM (binomial, blme Cauchy(0,2.5)), Wald z]",Morphology,Tip exist,"GLMM (binomial, blme Cauchy(0,2.5))",fixed: treatment31C:day:thicketd,Wald z,-276.6779,NA,NA,NA,-1.9816,log-odds,-86.2157,-1.9957,-1.9676,0,"fixed: treatment31C:day:thicketd: OR=0.14 (sig, blme penalized)",code/12c_morph_blme.R,output/tables/12c_morph_blme_fixed_effects.csv
"Morphology: Tip exist — fixed: treatment31C:thicketc [GLMM (binomial, blme Cauchy(0,2.5)), Wald z]",Morphology,Tip exist,"GLMM (binomial, blme Cauchy(0,2.5))",fixed: treatment31C:thicketc,Wald z,-74.6406,NA,NA,NA,NA,log-odds [residual separation],NA,NA,NA,NA,"fixed: treatment31C:thicketc: residual separation after Cauchy(0,2.5) prior — report omnibus chi-sq only",code/12c_morph_blme.R,output/tables/12c_morph_blme_fixed_effects.csv
"Morphology: Tip exist — fixed: treatment31C:thicketd [GLMM (binomial, blme Cauchy(0,2.5)), Wald z]",Morphology,Tip exist,"GLMM (binomial, blme Cauchy(0,2.5))",fixed: treatment31C:thicketd,Wald z,0.1348,NA,NA,NA,NA,log-odds [residual separation],NA,NA,NA,NA,"fixed: treatment31C:thicketd: residual separation after Cauchy(0,2.5) prior — report omnibus chi-sq only",code/12c_morph_blme.R,output/tables/12c_morph_blme_fixed_effects.csv
"Morphology: Tip exist — 28C - 31C at day 10 [GLMM contrast (prob scale), delta probability]",Morphology,Tip exist,GLMM contrast (prob scale),28C - 31C at day 10,delta probability,0.0133,NA,NA,NA,0.0133,probability,1.33,NA,NA,NA,P(28C)=1.00 vs P(31C)=0.99; OR(31vs28)=NA,code/29_morphology_prob_contrasts.R,output/tables/29_morphology_prob_contrasts.csv
"Morphology: Tip extension — day [GLMM (binomial), Wald chi-sq]",Morphology,Tip extension,GLMM (binomial),day,Wald chi-sq,57.8941,4,NA,NA,NA,NA,NA,NA,NA,0,day effect on tip_extension (significant),code/04_physio_morphology.R,output/tables/04_morphology_trait_anova_genet.csv
"Morphology: Tip extension — day:thicket [GLMM (binomial), Wald chi-sq]",Morphology,Tip extension,GLMM (binomial),day:thicket,Wald chi-sq,2.57,2,NA,NA,NA,NA,NA,NA,NA,0.2767,day:thicket effect on tip_extension (n.s.),code/04_physio_morphology.R,output/tables/04_morphology_trait_anova_genet.csv
"Morphology: Tip extension — thicket [GLMM (binomial), Wald chi-sq]",Morphology,Tip extension,GLMM (binomial),thicket,Wald chi-sq,7.2212,4,NA,NA,NA,NA,NA,NA,NA,0.1246,thicket effect on tip_extension (n.s.),code/04_physio_morphology.R,output/tables/04_morphology_trait_anova_genet.csv
"Morphology: Tip extension — treatment [GLMM (binomial), Wald chi-sq]",Morphology,Tip extension,GLMM (binomial),treatment,Wald chi-sq,2.1147,2,NA,NA,NA,NA,NA,NA,NA,0.3474,treatment effect on tip_extension (n.s.),code/04_physio_morphology.R,output/tables/04_morphology_trait_anova_genet.csv
"Morphology: Tip extension — treatment:day [GLMM (binomial), Wald chi-sq]",Morphology,Tip extension,GLMM (binomial),treatment:day,Wald chi-sq,1.8253,1,NA,NA,NA,NA,NA,NA,NA,0.1767,treatment:day effect on tip_extension (n.s.),code/04_physio_morphology.R,output/tables/04_morphology_trait_anova_genet.csv
"Morphology: Tip extension — treatment:day:thicket [GLMM (binomial), Wald chi-sq]",Morphology,Tip extension,GLMM (binomial),treatment:day:thicket,Wald chi-sq,0,2,NA,NA,NA,NA,NA,NA,NA,1,treatment:day:thicket effect on tip_extension (n.s.),code/04_physio_morphology.R,output/tables/04_morphology_trait_anova_genet.csv
"Morphology: Tip extension — treatment:thicket [GLMM (binomial), Wald chi-sq]",Morphology,Tip extension,GLMM (binomial),treatment:thicket,Wald chi-sq,0,2,NA,NA,NA,NA,NA,NA,NA,1,treatment:thicket effect on tip_extension (n.s.),code/04_physio_morphology.R,output/tables/04_morphology_trait_anova_genet.csv
"Morphology: Tip extension — fixed: day [GLMM (binomial, blme Cauchy(0,2.5)), Wald z]",Morphology,Tip extension,"GLMM (binomial, blme Cauchy(0,2.5))",fixed: day,Wald z,0.0215,NA,NA,NA,NA,log-odds [residual separation],NA,NA,NA,NA,"fixed: day: residual separation after Cauchy(0,2.5) prior — report omnibus chi-sq only",code/12c_morph_blme.R,output/tables/12c_morph_blme_fixed_effects.csv
"Morphology: Tip extension — fixed: day:thicketc [GLMM (binomial, blme Cauchy(0,2.5)), Wald z]",Morphology,Tip extension,"GLMM (binomial, blme Cauchy(0,2.5))",fixed: day:thicketc,Wald z,-0.0206,NA,NA,NA,NA,log-odds [residual separation],NA,NA,NA,NA,"fixed: day:thicketc: residual separation after Cauchy(0,2.5) prior — report omnibus chi-sq only",code/12c_morph_blme.R,output/tables/12c_morph_blme_fixed_effects.csv
"Morphology: Tip extension — fixed: day:thicketd [GLMM (binomial, blme Cauchy(0,2.5)), Wald z]",Morphology,Tip extension,"GLMM (binomial, blme Cauchy(0,2.5))",fixed: day:thicketd,Wald z,-3e-4,NA,NA,NA,NA,log-odds [residual separation],NA,NA,NA,NA,"fixed: day:thicketd: residual separation after Cauchy(0,2.5) prior — report omnibus chi-sq only",code/12c_morph_blme.R,output/tables/12c_morph_blme_fixed_effects.csv
"Morphology: Tip extension — fixed: thicketc [GLMM (binomial, blme Cauchy(0,2.5)), Wald z]",Morphology,Tip extension,"GLMM (binomial, blme Cauchy(0,2.5))",fixed: thicketc,Wald z,0.0213,NA,NA,NA,NA,log-odds [residual separation],NA,NA,NA,NA,"fixed: thicketc: residual separation after Cauchy(0,2.5) prior — report omnibus chi-sq only",code/12c_morph_blme.R,output/tables/12c_morph_blme_fixed_effects.csv
"Morphology: Tip extension — fixed: thicketd [GLMM (binomial, blme Cauchy(0,2.5)), Wald z]",Morphology,Tip extension,"GLMM (binomial, blme Cauchy(0,2.5))",fixed: thicketd,Wald z,-0,NA,NA,NA,NA,log-odds [residual separation],NA,NA,NA,NA,"fixed: thicketd: residual separation after Cauchy(0,2.5) prior — report omnibus chi-sq only",code/12c_morph_blme.R,output/tables/12c_morph_blme_fixed_effects.csv
"Morphology: Tip extension — fixed: treatment31C [GLMM (binomial, blme Cauchy(0,2.5)), Wald z]",Morphology,Tip extension,"GLMM (binomial, blme Cauchy(0,2.5))",fixed: treatment31C,Wald z,0.0221,NA,NA,NA,NA,log-odds [residual separation],NA,NA,NA,NA,"fixed: treatment31C: residual separation after Cauchy(0,2.5) prior — report omnibus chi-sq only",code/12c_morph_blme.R,output/tables/12c_morph_blme_fixed_effects.csv
"Morphology: Tip extension — fixed: treatment31C:day [GLMM (binomial, blme Cauchy(0,2.5)), Wald z]",Morphology,Tip extension,"GLMM (binomial, blme Cauchy(0,2.5))",fixed: treatment31C:day,Wald z,-0.0211,NA,NA,NA,NA,log-odds [residual separation],NA,NA,NA,NA,"fixed: treatment31C:day: residual separation after Cauchy(0,2.5) prior — report omnibus chi-sq only",code/12c_morph_blme.R,output/tables/12c_morph_blme_fixed_effects.csv
"Morphology: Tip extension — fixed: treatment31C:day:thicketc [GLMM (binomial, blme Cauchy(0,2.5)), Wald z]",Morphology,Tip extension,"GLMM (binomial, blme Cauchy(0,2.5))",fixed: treatment31C:day:thicketc,Wald z,0.0207,NA,NA,NA,NA,log-odds [residual separation],NA,NA,NA,NA,"fixed: treatment31C:day:thicketc: residual separation after Cauchy(0,2.5) prior — report omnibus chi-sq only",code/12c_morph_blme.R,output/tables/12c_morph_blme_fixed_effects.csv
"Morphology: Tip extension — fixed: treatment31C:day:thicketd [GLMM (binomial, blme Cauchy(0,2.5)), Wald z]",Morphology,Tip extension,"GLMM (binomial, blme Cauchy(0,2.5))",fixed: treatment31C:day:thicketd,Wald z,2e-4,NA,NA,NA,NA,log-odds [residual separation],NA,NA,NA,NA,"fixed: treatment31C:day:thicketd: residual separation after Cauchy(0,2.5) prior — report omnibus chi-sq only",code/12c_morph_blme.R,output/tables/12c_morph_blme_fixed_effects.csv
"Morphology: Tip extension — fixed: treatment31C:thicketc [GLMM (binomial, blme Cauchy(0,2.5)), Wald z]",Morphology,Tip extension,"GLMM (binomial, blme Cauchy(0,2.5))",fixed: treatment31C:thicketc,Wald z,-0.0215,NA,NA,NA,NA,log-odds [residual separation],NA,NA,NA,NA,"fixed: treatment31C:thicketc: residual separation after Cauchy(0,2.5) prior — report omnibus chi-sq only",code/12c_morph_blme.R,output/tables/12c_morph_blme_fixed_effects.csv
"Morphology: Tip extension — fixed: treatment31C:thicketd [GLMM (binomial, blme Cauchy(0,2.5)), Wald z]",Morphology,Tip extension,"GLMM (binomial, blme Cauchy(0,2.5))",fixed: treatment31C:thicketd,Wald z,1e-4,NA,NA,NA,NA,log-odds [residual separation],NA,NA,NA,NA,"fixed: treatment31C:thicketd: residual separation after Cauchy(0,2.5) prior — report omnibus chi-sq only",code/12c_morph_blme.R,output/tables/12c_morph_blme_fixed_effects.csv
"Morphology: Tip extension — 28C - 31C at day 10 [GLMM contrast (prob scale), delta probability]",Morphology,Tip extension,GLMM contrast (prob scale),28C - 31C at day 10,delta probability,0.6061,NA,NA,NA,0.6061,probability,60.61,NA,NA,NA,P(28C)=1.00 vs P(31C)=0.39; OR(31vs28)=NA,code/29_morphology_prob_contrasts.R,output/tables/29_morphology_prob_contrasts.csv
"Morphology: Wound smoothed — day [GLMM (binomial), Wald chi-sq]",Morphology,Wound smoothed,GLMM (binomial),day,Wald chi-sq,23.2161,1,NA,NA,NA,NA,NA,NA,NA,0,day effect on wound_smoothed (significant),code/04_physio_morphology.R,output/tables/04_morphology_trait_anova_genet.csv
"Morphology: Wound smoothed — day:thicket [GLMM (binomial), Wald chi-sq]",Morphology,Wound smoothed,GLMM (binomial),day:thicket,Wald chi-sq,0.1128,2,NA,NA,NA,NA,NA,NA,NA,0.9452,day:thicket effect on wound_smoothed (n.s.),code/04_physio_morphology.R,output/tables/04_morphology_trait_anova_genet.csv
"Morphology: Wound smoothed — thicket [GLMM (binomial), Wald chi-sq]",Morphology,Wound smoothed,GLMM (binomial),thicket,Wald chi-sq,1.4373,2,NA,NA,NA,NA,NA,NA,NA,0.4874,thicket effect on wound_smoothed (n.s.),code/04_physio_morphology.R,output/tables/04_morphology_trait_anova_genet.csv
"Morphology: Wound smoothed — treatment [GLMM (binomial), Wald chi-sq]",Morphology,Wound smoothed,GLMM (binomial),treatment,Wald chi-sq,0,1,NA,NA,NA,NA,NA,NA,NA,0.9994,treatment effect on wound_smoothed (n.s.),code/04_physio_morphology.R,output/tables/04_morphology_trait_anova_genet.csv
"Morphology: Wound smoothed — treatment:day [GLMM (binomial), Wald chi-sq]",Morphology,Wound smoothed,GLMM (binomial),treatment:day,Wald chi-sq,8e-4,1,NA,NA,NA,NA,NA,NA,NA,0.9781,treatment:day effect on wound_smoothed (n.s.),code/04_physio_morphology.R,output/tables/04_morphology_trait_anova_genet.csv
"Morphology: Wound smoothed — treatment:day:thicket [GLMM (binomial), Wald chi-sq]",Morphology,Wound smoothed,GLMM (binomial),treatment:day:thicket,Wald chi-sq,0,2,NA,NA,NA,NA,NA,NA,NA,1,treatment:day:thicket effect on wound_smoothed (n.s.),code/04_physio_morphology.R,output/tables/04_morphology_trait_anova_genet.csv
"Morphology: Wound smoothed — treatment:thicket [GLMM (binomial), Wald chi-sq]",Morphology,Wound smoothed,GLMM (binomial),treatment:thicket,Wald chi-sq,0,2,NA,NA,NA,NA,NA,NA,NA,1,treatment:thicket effect on wound_smoothed (n.s.),code/04_physio_morphology.R,output/tables/04_morphology_trait_anova_genet.csv
"Morphology: Wound smoothed — fixed: day [GLMM (binomial, blme Cauchy(0,2.5)), Wald z]",Morphology,Wound smoothed,"GLMM (binomial, blme Cauchy(0,2.5))",fixed: day,Wald z,4.2281,NA,NA,NA,1.4646,log-odds,332.5674,0.7856,2.1435,0,"fixed: day: OR=4.33 (sig, blme penalized)",code/12c_morph_blme.R,output/tables/12c_morph_blme_fixed_effects.csv
"Morphology: Wound smoothed — fixed: day:thicketc [GLMM (binomial, blme Cauchy(0,2.5)), Wald z]",Morphology,Wound smoothed,"GLMM (binomial, blme Cauchy(0,2.5))",fixed: day:thicketc,Wald z,0.9445,NA,NA,NA,0.4042,log-odds,49.8171,-0.4346,1.2431,0.3449,"fixed: day:thicketc: OR=1.50 (n.s., blme penalized)",code/12c_morph_blme.R,output/tables/12c_morph_blme_fixed_effects.csv
"Morphology: Wound smoothed — fixed: day:thicketd [GLMM (binomial, blme Cauchy(0,2.5)), Wald z]",Morphology,Wound smoothed,"GLMM (binomial, blme Cauchy(0,2.5))",fixed: day:thicketd,Wald z,0.5105,NA,NA,NA,0.1964,log-odds,21.7052,-0.5577,0.9506,0.6097,"fixed: day:thicketd: OR=1.22 (n.s., blme penalized)",code/12c_morph_blme.R,output/tables/12c_morph_blme_fixed_effects.csv
"Morphology: Wound smoothed — fixed: thicketc [GLMM (binomial, blme Cauchy(0,2.5)), Wald z]",Morphology,Wound smoothed,"GLMM (binomial, blme Cauchy(0,2.5))",fixed: thicketc,Wald z,-1.0598,NA,NA,NA,-1.6709,log-odds,-81.1914,-4.761,1.4193,0.2892,"fixed: thicketc: OR=0.19 (n.s., blme penalized)",code/12c_morph_blme.R,output/tables/12c_morph_blme_fixed_effects.csv
"Morphology: Wound smoothed — fixed: thicketd [GLMM (binomial, blme Cauchy(0,2.5)), Wald z]",Morphology,Wound smoothed,"GLMM (binomial, blme Cauchy(0,2.5))",fixed: thicketd,Wald z,-1.0772,NA,NA,NA,-1.6755,log-odds,-81.2778,-4.7241,1.3732,0.2814,"fixed: thicketd: OR=0.19 (n.s., blme penalized)",code/12c_morph_blme.R,output/tables/12c_morph_blme_fixed_effects.csv
"Morphology: Wound smoothed — fixed: treatment31C [GLMM (binomial, blme Cauchy(0,2.5)), Wald z]",Morphology,Wound smoothed,"GLMM (binomial, blme Cauchy(0,2.5))",fixed: treatment31C,Wald z,-1.4549,NA,NA,NA,-2.3441,log-odds,-90.4071,-5.5021,0.8138,0.1457,"fixed: treatment31C: OR=0.10 (n.s., blme penalized)",code/12c_morph_blme.R,output/tables/12c_morph_blme_fixed_effects.csv
"Morphology: Wound smoothed — fixed: treatment31C:day [GLMM (binomial, blme Cauchy(0,2.5)), Wald z]",Morphology,Wound smoothed,"GLMM (binomial, blme Cauchy(0,2.5))",fixed: treatment31C:day,Wald z,1.2635,NA,NA,NA,0.5626,log-odds,75.5302,-0.3102,1.4355,0.2064,"fixed: treatment31C:day: OR=1.76 (n.s., blme penalized)",code/12c_morph_blme.R,output/tables/12c_morph_blme_fixed_effects.csv
"Morphology: Wound smoothed — fixed: treatment31C:day:thicketc [GLMM (binomial, blme Cauchy(0,2.5)), Wald z]",Morphology,Wound smoothed,"GLMM (binomial, blme Cauchy(0,2.5))",fixed: treatment31C:day:thicketc,Wald z,1.0202,NA,NA,NA,0.633,log-odds,88.3248,-0.5831,1.8491,0.3076,"fixed: treatment31C:day:thicketc: OR=1.88 (n.s., blme penalized)",code/12c_morph_blme.R,output/tables/12c_morph_blme_fixed_effects.csv
"Morphology: Wound smoothed — fixed: treatment31C:day:thicketd [GLMM (binomial, blme Cauchy(0,2.5)), Wald z]",Morphology,Wound smoothed,"GLMM (binomial, blme Cauchy(0,2.5))",fixed: treatment31C:day:thicketd,Wald z,1.3283,NA,NA,NA,0.8258,log-odds,128.3637,-0.3927,2.0443,0.1841,"fixed: treatment31C:day:thicketd: OR=2.28 (n.s., blme penalized)",code/12c_morph_blme.R,output/tables/12c_morph_blme_fixed_effects.csv
"Morphology: Wound smoothed — fixed: treatment31C:thicketc [GLMM (binomial, blme Cauchy(0,2.5)), Wald z]",Morphology,Wound smoothed,"GLMM (binomial, blme Cauchy(0,2.5))",fixed: treatment31C:thicketc,Wald z,-0.4766,NA,NA,NA,-0.8609,log-odds,-57.7204,-4.401,2.6792,0.6336,"fixed: treatment31C:thicketc: OR=0.42 (n.s., blme penalized)",code/12c_morph_blme.R,output/tables/12c_morph_blme_fixed_effects.csv
"Morphology: Wound smoothed — fixed: treatment31C:thicketd [GLMM (binomial, blme Cauchy(0,2.5)), Wald z]",Morphology,Wound smoothed,"GLMM (binomial, blme Cauchy(0,2.5))",fixed: treatment31C:thicketd,Wald z,-0.4507,NA,NA,NA,-0.8139,log-odds,-55.6891,-4.3535,2.7256,0.6522,"fixed: treatment31C:thicketd: OR=0.44 (n.s., blme penalized)",code/12c_morph_blme.R,output/tables/12c_morph_blme_fixed_effects.csv
"Morphology: Wound smoothed — 28C - 31C at day 10 [GLMM contrast (prob scale), delta probability]",Morphology,Wound smoothed,GLMM contrast (prob scale),28C - 31C at day 10,delta probability,-0,NA,NA,NA,-0,probability,-0,NA,NA,NA,P(28C)=1.00 vs P(31C)=1.00; OR(31vs28)=NA,code/29_morphology_prob_contrasts.R,output/tables/29_morphology_prob_contrasts.csv
"Multivariate: End-of-experiment physiology PCA — loading[color_end] -> PC1 [PCA, PCA loading]",Multivariate,End-of-experiment physiology PCA,PCA,loading[color_end] -> PC1,PCA loading,0.526,NA,NA,NA,0.526,loading,NA,NA,NA,NA,color_end loads 0.53 on PC1,code/15_multivariate.R,output/tables/15_pca_loadings.csv
"Multivariate: End-of-experiment physiology PCA — loading[color_end] -> PC2 [PCA, PCA loading]",Multivariate,End-of-experiment physiology PCA,PCA,loading[color_end] -> PC2,PCA loading,-0.273,NA,NA,NA,-0.273,loading,NA,NA,NA,NA,color_end loads -0.27 on PC2,code/15_multivariate.R,output/tables/15_pca_loadings.csv
"Multivariate: End-of-experiment physiology PCA — loading[color_end] -> PC3 [PCA, PCA loading]",Multivariate,End-of-experiment physiology PCA,PCA,loading[color_end] -> PC3,PCA loading,0.3,NA,NA,NA,0.3,loading,NA,NA,NA,NA,color_end loads 0.30 on PC3,code/15_multivariate.R,output/tables/15_pca_loadings.csv
"Multivariate: End-of-experiment physiology PCA — loading[color_end] -> PC4 [PCA, PCA loading]",Multivariate,End-of-experiment physiology PCA,PCA,loading[color_end] -> PC4,PCA loading,-0.747,NA,NA,NA,-0.747,loading,NA,NA,NA,NA,color_end loads -0.75 on PC4,code/15_multivariate.R,output/tables/15_pca_loadings.csv
"Multivariate: End-of-experiment physiology PCA — loading[growth_areal] -> PC1 [PCA, PCA loading]",Multivariate,End-of-experiment physiology PCA,PCA,loading[growth_areal] -> PC1,PCA loading,0.419,NA,NA,NA,0.419,loading,NA,NA,NA,NA,growth_areal loads 0.42 on PC1,code/15_multivariate.R,output/tables/15_pca_loadings.csv
"Multivariate: End-of-experiment physiology PCA — loading[growth_areal] -> PC2 [PCA, PCA loading]",Multivariate,End-of-experiment physiology PCA,PCA,loading[growth_areal] -> PC2,PCA loading,0.899,NA,NA,NA,0.899,loading,NA,NA,NA,NA,growth_areal loads 0.90 on PC2,code/15_multivariate.R,output/tables/15_pca_loadings.csv
"Multivariate: End-of-experiment physiology PCA — loading[growth_areal] -> PC3 [PCA, PCA loading]",Multivariate,End-of-experiment physiology PCA,PCA,loading[growth_areal] -> PC3,PCA loading,-0.103,NA,NA,NA,-0.103,loading,NA,NA,NA,NA,growth_areal loads -0.10 on PC3,code/15_multivariate.R,output/tables/15_pca_loadings.csv
"Multivariate: End-of-experiment physiology PCA — loading[growth_areal] -> PC4 [PCA, PCA loading]",Multivariate,End-of-experiment physiology PCA,PCA,loading[growth_areal] -> PC4,PCA loading,-0.075,NA,NA,NA,-0.075,loading,NA,NA,NA,NA,growth_areal loads -0.07 on PC4,code/15_multivariate.R,output/tables/15_pca_loadings.csv
"Multivariate: End-of-experiment physiology PCA — loading[pam_end] -> PC1 [PCA, PCA loading]",Multivariate,End-of-experiment physiology PCA,PCA,loading[pam_end] -> PC1,PCA loading,0.516,NA,NA,NA,0.516,loading,NA,NA,NA,NA,pam_end loads 0.52 on PC1,code/15_multivariate.R,output/tables/15_pca_loadings.csv
"Multivariate: End-of-experiment physiology PCA — loading[pam_end] -> PC2 [PCA, PCA loading]",Multivariate,End-of-experiment physiology PCA,PCA,loading[pam_end] -> PC2,PCA loading,-0.316,NA,NA,NA,-0.316,loading,NA,NA,NA,NA,pam_end loads -0.32 on PC2,code/15_multivariate.R,output/tables/15_pca_loadings.csv
"Multivariate: End-of-experiment physiology PCA — loading[pam_end] -> PC3 [PCA, PCA loading]",Multivariate,End-of-experiment physiology PCA,PCA,loading[pam_end] -> PC3,PCA loading,-0.779,NA,NA,NA,-0.779,loading,NA,NA,NA,NA,pam_end loads -0.78 on PC3,code/15_multivariate.R,output/tables/15_pca_loadings.csv
"Multivariate: End-of-experiment physiology PCA — loading[pam_end] -> PC4 [PCA, PCA loading]",Multivariate,End-of-experiment physiology PCA,PCA,loading[pam_end] -> PC4,PCA loading,0.165,NA,NA,NA,0.165,loading,NA,NA,NA,NA,pam_end loads 0.17 on PC4,code/15_multivariate.R,output/tables/15_pca_loadings.csv
"Multivariate: End-of-experiment physiology PCA — loading[zoox_end] -> PC1 [PCA, PCA loading]",Multivariate,End-of-experiment physiology PCA,PCA,loading[zoox_end] -> PC1,PCA loading,0.531,NA,NA,NA,0.531,loading,NA,NA,NA,NA,zoox_end loads 0.53 on PC1,code/15_multivariate.R,output/tables/15_pca_loadings.csv
"Multivariate: End-of-experiment physiology PCA — loading[zoox_end] -> PC2 [PCA, PCA loading]",Multivariate,End-of-experiment physiology PCA,PCA,loading[zoox_end] -> PC2,PCA loading,-0.132,NA,NA,NA,-0.132,loading,NA,NA,NA,NA,zoox_end loads -0.13 on PC2,code/15_multivariate.R,output/tables/15_pca_loadings.csv
"Multivariate: End-of-experiment physiology PCA — loading[zoox_end] -> PC3 [PCA, PCA loading]",Multivariate,End-of-experiment physiology PCA,PCA,loading[zoox_end] -> PC3,PCA loading,0.541,NA,NA,NA,0.541,loading,NA,NA,NA,NA,zoox_end loads 0.54 on PC3,code/15_multivariate.R,output/tables/15_pca_loadings.csv
"Multivariate: End-of-experiment physiology PCA — loading[zoox_end] -> PC4 [PCA, PCA loading]",Multivariate,End-of-experiment physiology PCA,PCA,loading[zoox_end] -> PC4,PCA loading,0.639,NA,NA,NA,0.639,loading,NA,NA,NA,NA,zoox_end loads 0.64 on PC4,code/15_multivariate.R,output/tables/15_pca_loadings.csv
"Multivariate: Per-genet thermal displacement (PCA) — genet=a [PCA, Euclidean displacement]",Multivariate,Per-genet thermal displacement (PCA),PCA,genet=a,Euclidean displacement,3.7242,NA,NA,NA,3.7242,PC units,NA,NA,NA,NA,Genet a shifts 3.72 PC-units under heat,code/15_multivariate.R,output/tables/15_genet_pca_displacement.csv
"Multivariate: Per-genet thermal displacement (PCA) — genet=c [PCA, Euclidean displacement]",Multivariate,Per-genet thermal displacement (PCA),PCA,genet=c,Euclidean displacement,1.0601,NA,NA,NA,1.0601,PC units,NA,NA,NA,NA,Genet c shifts 1.06 PC-units under heat,code/15_multivariate.R,output/tables/15_genet_pca_displacement.csv
"Multivariate: Per-genet thermal displacement (PCA) — genet=d [PCA, Euclidean displacement]",Multivariate,Per-genet thermal displacement (PCA),PCA,genet=d,Euclidean displacement,3.3393,NA,NA,NA,3.3393,PC units,NA,NA,NA,NA,Genet d shifts 3.34 PC-units under heat,code/15_multivariate.R,output/tables/15_genet_pca_displacement.csv
"Physiology: Areal calcification (mg cm-2 d-1) — (Intercept) [LM, ANOVA F]",Physiology,Areal calcification (mg cm-2 d-1),LM,(Intercept),ANOVA F,75.0591,1,NA,NA,NA,NA,NA,NA,NA,0,(Intercept) effect on Areal calcification (mg cm-2 d-1) (significant),code/12_extended_stats.R,output/tables/12_anova_summary.csv
"Physiology: Areal calcification (mg cm-2 d-1) — Residuals [LM, Wald chi-sq]",Physiology,Areal calcification (mg cm-2 d-1),LM,Residuals,Wald chi-sq,NA,36,NA,NA,NA,NA,NA,NA,NA,NA,Residuals effect on Areal calcification (mg cm-2 d-1)NA,code/12_extended_stats.R,output/tables/12_anova_summary.csv
"Physiology: Areal calcification (mg cm-2 d-1) — thicket [LM, ANOVA F]",Physiology,Areal calcification (mg cm-2 d-1),LM,thicket,ANOVA F,0.3935,2,NA,NA,NA,NA,NA,NA,NA,0.6776,thicket effect on Areal calcification (mg cm-2 d-1) (n.s.),code/12_extended_stats.R,output/tables/12_anova_summary.csv
"Physiology: Areal calcification (mg cm-2 d-1) — treatment [LM, ANOVA F]",Physiology,Areal calcification (mg cm-2 d-1),LM,treatment,ANOVA F,5.8246,1,NA,NA,NA,NA,NA,NA,NA,0.021,treatment effect on Areal calcification (mg cm-2 d-1) (significant),code/12_extended_stats.R,output/tables/12_anova_summary.csv
"Physiology: Areal calcification (mg cm-2 d-1) — treatment:thicket [LM, ANOVA F]",Physiology,Areal calcification (mg cm-2 d-1),LM,treatment:thicket,ANOVA F,0.2413,2,NA,NA,NA,NA,NA,NA,NA,0.7869,treatment:thicket effect on Areal calcification (mg cm-2 d-1) (n.s.),code/12_extended_stats.R,output/tables/12_anova_summary.csv
"Physiology: Areal calcification (mg cm-2 d-1) — treatment:wound [LM, ANOVA F]",Physiology,Areal calcification (mg cm-2 d-1),LM,treatment:wound,ANOVA F,0.0308,1,NA,NA,NA,NA,NA,NA,NA,0.8616,treatment:wound effect on Areal calcification (mg cm-2 d-1) (n.s.),code/12_extended_stats.R,output/tables/12_anova_summary.csv
"Physiology: Areal calcification (mg cm-2 d-1) — treatment:wound:thicket [LM, ANOVA F]",Physiology,Areal calcification (mg cm-2 d-1),LM,treatment:wound:thicket,ANOVA F,0.3142,2,NA,NA,NA,NA,NA,NA,NA,0.7323,treatment:wound:thicket effect on Areal calcification (mg cm-2 d-1) (n.s.),code/12_extended_stats.R,output/tables/12_anova_summary.csv
"Physiology: Areal calcification (mg cm-2 d-1) — wound [LM, ANOVA F]",Physiology,Areal calcification (mg cm-2 d-1),LM,wound,ANOVA F,0.3887,1,NA,NA,NA,NA,NA,NA,NA,0.5369,wound effect on Areal calcification (mg cm-2 d-1) (n.s.),code/12_extended_stats.R,output/tables/12_anova_summary.csv
"Physiology: Areal calcification (mg cm-2 d-1) — wound:thicket [LM, ANOVA F]",Physiology,Areal calcification (mg cm-2 d-1),LM,wound:thicket,ANOVA F,0.318,2,NA,NA,NA,NA,NA,NA,NA,0.7296,wound:thicket effect on Areal calcification (mg cm-2 d-1) (n.s.),code/12_extended_stats.R,output/tables/12_anova_summary.csv
"Physiology: Areal calcification (mg cm-2 d-1) — R2_conditional [LMM, R-squared]",Physiology,Areal calcification (mg cm-2 d-1),LMM,R2_conditional,R-squared,0.398,NA,NA,NA,0.398,proportion,NA,NA,NA,NA,R2_conditional = 0.398,code/12_extended_stats.R,output/tables/12_r2_summary.csv
"Physiology: Areal calcification (mg cm-2 d-1) — R2_marginal [LMM, R-squared]",Physiology,Areal calcification (mg cm-2 d-1),LMM,R2_marginal,R-squared,0.398,NA,NA,NA,0.398,proportion,NA,NA,NA,NA,R2_marginal = 0.398,code/12_extended_stats.R,output/tables/12_r2_summary.csv
"Physiology: Areal calcification (mg cm-2 d-1) — contrast: 28C - 31C | genet=a | wound=no [LMM, Satterthwaite t]",Physiology,Areal calcification (mg cm-2 d-1),LMM,contrast: 28C - 31C | genet=a | wound=no,Satterthwaite t,2.4134,36,NA,NA,3.5047,,-39.3954,0.6584,6.351,0.021,"Genet a, unwounded: lower under 31C (-39.4%)",code/12_extended_stats.R,output/tables/12_genet_treatment_effects.csv
